Priority,Track Title,Label,Year,ASCAP,BMI,MLC,Status,Action Required
MEDIUM,500,Compilation,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Barry Lil Kuzin,Compilation,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Bobby Bouscher,Compilation,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Deuce Skubalo,Compilation,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Re Rock,Compilation,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,ShoNuff,Compilation,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Weezo,Compilation,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Whoop N Wham,Compilation,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
