Priority,Title,BMI Title Number,ISWC,BMI Status,Writers,Publishers,Action Required
MEDIUM,OPTIONS,62309270,,Pending Society Review,"BRAMMER THOMAS PETER (MR) (SPACCT) (32.50%), MUHAMMAD AYATULLAH RU (2.00%), ROWLAND BROOK OBA (10.00%), EDWARDS ANTOINE (6.00%), SULLIVAN GREGORY RYAN (37.00%), MADRID JUAN (10.00%), SORRELL CASADA AARON (SP ACCT) (17.00%), LEE CHRISTOPHER J (MR) (3.50%), DAVIS NENZINGHA YAANSANTEWA (65.00%)",IPM SONGS (17.00%),Register with MLC using publisher admin or direct registration
MEDIUM,TEST YA NUTS,62611712,T3191943478,Share and/or Participant Conflict,"PERRY ZACHARY EVAN (25.00%), TEEL DAVID OBATA (25.00%), THOMAS LARUSSELL DWAYNE JR (25.00%), SORRELL CASADA AARON (SP ACCT) (25.00%)","UNKNOWN PUBLISHER (50.00%), KOBALT MUSIC PUBLISHING AMERICA INC (25.00%), KOBALT MUSIC PUBLISHING LTD CANADA (0.00%), IPM SONGS (25.00%), GOODCOMPENNYWORLDWIDE (0.00%)",Register with MLC using publisher admin or direct registration
MEDIUM,RUN IT UP,64127510,T3224308736,Pending Society Review,"JUAREZ JULIAN (MR) (SP ACCT) (50.00%), SADABABY (50.00%), WALKER DAMARIA KAYSHAWN (50.00%), PEREZ JUNIOR JAIME MR (50.00%)",MANUSCRIPT (0.00%),Register with MLC using publisher admin or direct registration
MEDIUM,ON ME,66135489,T3274798704,Pending Society Review,"CLARK DEVON (50.00%), SORRELL CASADA AARON (50.00%), THOMAS KYREACE MICHAEL MR (50.00%)",FRONTLINE PRODUCTIONS DETROIT (50.00%),Register with MLC using publisher admin or direct registration
MEDIUM,WE LOCKED IN,67240409,T3381768094,Pending Society Review,"RICHERSON DURRELL (25.00%), SORRELL CASADA AARON (12.50%), WASHINGTON DENZEL THOMAS (25.00%), PETRULAKIS ANDREW CONSTANTINEMR (50.00%)","SONGTRUST BLVD (50.00%), EMPIRE STRIKES FIRST (25.00%), TF ENTERTAINMENT (12.50%)",Register with MLC using publisher admin or direct registration
MEDIUM,GRIZZLEY GANG,67371522,T3266211698,Pending Society Review,"WALLACE TERRY SANCHEZ (25.00%), MATHIS ANTHONY O NEAL (MR) (50.00%), SORRELL CASADA AARON (25.00%)","SONGS OF UNIVERSAL INC (37.50%), UNKNOWN PUBLISHER (50.00%), SONGS OF ROC NATION MUSIC (12.50%)",Register with MLC using publisher admin or direct registration
MEDIUM,BACK END,67832024,,Pending Society Review,"JONES DUX (100.00%), SORRELL CASADA AARON (100.00%)",MANUSCRIPT (0.00%),Register with MLC using publisher admin or direct registration
MEDIUM,ACTIN BAD,68595692,T3267786238,Pending Society Review,"CLARK DAVAUGHN DMAR MR (50.00%), SORRELL CASADA AARON (50.00%)","TF ENTERTAINMENT (50.00%), CASADA AARON SORRELL PUB DESIG (50.00%)",Register with MLC using publisher admin or direct registration
MEDIUM,ON THA FLO,69402026,,Pending Society Review,"WILLIAMS IAN (5.00%), MCGEE JOHN STEVEN (17.50%), COOK QUINTON LAMAR (17.50%), UNKNOWN COMPOSER (10.00%), KNIGHT ARKEISHA (20.00%), SORRELL CASADA AARON (15.00%), CARLEY RICKIE (10.00%), VINSON MITCHELL SHERROD (5.00%)","KOBALT MUSIC PUBLISHING LTD CANADA (0.00%), UNKNOWN PUBLISHER (82.50%), SONGS OF KOBALT MUSIC PUBLISHING (17.50%), SK MUSIC LLC (0.00%)",Register with MLC using publisher admin or direct registration
MEDIUM,NEWPORT 500S,74979634,T3371819028,Pending Society Review,"SALINAS MATTHEW ROBERT (50.00%), SORRELL CASADA AARON (100.00%)",TRAXXFDR PUBLISHING WORLDWIDE (50.00%),Register with MLC using publisher admin or direct registration
