Priority,Track Title,Label,Year,ASCAP,BMI,MLC,Status,Action Required
MEDIUM,Angel And Dren,Independent (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Bade Bunningham,Independent (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,HardKore Holly,Independent (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Internet Disease,Independent (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Ja Morant,Independent (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Karmelo Skanthony,Independent (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Miles DeRozan,Independent (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Perfect Form Skub,Independent (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Rehab,Independent (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Unkle Hell Yea,Independent (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
