Priority,Track Title,Label,Year,ASCAP,BMI,MLC,Status,Action Required
MEDIUM,Perfect Form Skub,Asylum Records / Warner Music Group (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,SkubaRu,Asylum Records / Warner Music Group (A&R: Cody Patrick),2022,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
