Priority,Gap Type,ISRC,Title,Value Tier,In BMI,In SX,BMI Details,SX Details,Action Required
HIGH,MLC ONLY,ZZOPM2118136,CJ,$$$$$,YES,YES,ISWC: T3092953356,"SXID: SX211MRNNN, Eff%: 100.0","Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO BMI,USUYG1136613,B4 (FEAT. CAMMY BANDS),$$$$$,NO,YES,,"SXID: SX210Q3CNU, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,USUYG1136601,STACY,$$$$$,NO,YES,,"SXID: SX210Q3CNR, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,MLC ONLY,ZZOPM2222038,MAGANA,$$$$$,YES,YES,ISWC: T3118602323,"SXID: SX211PP2FZ, Eff%: 100.0","Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO BMI,ZZOPM2222027,MILES DEROZAN,$$$$$,NO,YES,,"SXID: SX211PP2FY, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO SX,TCADJ1706268,GUATEMALAN,$$$$$,YES,NO,ISWC: T9321722525,,"Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO SX,CH7812537077,N.W.O,$$$$$,YES,NO,ISWC: ,,"Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO BMI,QMRSZ2301689,FRESH,$$$$$,NO,YES,,"SXID: SX214E1JU0, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2003565,BROCK LESNAR (FEAT.,$$$$$,NO,YES,,"SXID: SX211AYBAX, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2003560,WHAT ELSE (FEAT.,$$$$$,NO,YES,,"SXID: SX211AYBAM, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,MLC ONLY,USUYG1136613,B4,$$$$$,YES,YES,ISWC: T9321719442,"SXID: SX210Q3CNU, Eff%: 50.0","Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO BMI,ZZOPM2222032,INTERNET DISEASE,$$$$$,NO,YES,,"SXID: SX211PP2G9, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2108210,BLOXK VIBES,$$$$$,NO,YES,,"SXID: SX211J8RZI, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2002786,KOOLER FINAL FORM,$$$$$,NO,YES,,"SXID: SX2118KTD3, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,QMRSZ2301689,FRESH,$$$$$,NO,YES,,"SXID: SX214E1JU0, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2222033,KARMELO SKANTHONY,$$$$$,NO,YES,,"SXID: SX211PP2GA, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2002786,KOOLER FINAL FORM,$$$$$,NO,YES,,"SXID: SX2118KTD3, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2222031,JA MORANT,$$$$$,NO,YES,,"SXID: SX211PP2FW, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,USUYG1143765,APE SHIT,$$$$$,NO,YES,,"SXID: SX210QNU5W, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,USUYG1203765,ROADSIDE ASSISTANCE DAME DOT|,$$$$$,NO,YES,,"SXID: SX210VBADA, Eff%: 50.0","Register with BMI first, then claim in MLC"
HIGH,NO SX,TCADJ1706266,TIMELINE TOUGH GUYS,$$$$$,YES,NO,ISWC: T9321718165,,"Claim in MLC using BMI writer data: CASADA AARON SORRELL, IP# 00816076637"
HIGH,NO BMI,ZZOPM2003566,ALLEN IVERSON (FEAT.,$$$$$,NO,YES,,"SXID: SX211AYBAV, Eff%: 33.33","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2002785,SILVER BACK,$$$$$,NO,YES,,"SXID: SX2118KTCX, Eff%: 100.0","Register with BMI first, then claim in MLC"
HIGH,NO BMI,ZZOPM2108209,FRIENDS,$$$$$,NO,YES,,"SXID: SX211J8RZH, Eff%: 100.0","Register with BMI first, then claim in MLC"
